sampling_strategy,n,mean_dice,std_dice,min_dice,max_dice,mean_iou,std_iou,min_iou,max_iou,mean_precision,std_precision,min_precision,max_precision,mean_recall,std_recall,min_recall,max_recall,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_selected_threshold,std_selected_threshold,min_selected_threshold,max_selected_threshold
standard,7,0.5805295452946189,0.08332136850893554,0.49537519252076384,0.7238265163936363,0.4132850714416713,0.08576669613068452,0.3292350292633483,0.5671850463059059,0.5995674046701235,0.1350287243216469,0.3600720810113534,0.7472569115233307,0.5937952118109391,0.12286105391829802,0.4581925175862873,0.7944948962876307,0.8115392462100814,0.04679252262255697,0.7219755056813301,0.8712299653213403,0.5071428571428571,0.03592319850008056,0.48,0.58
source_fp,7,0.5633144494791281,0.0791396832299262,0.47298640110915413,0.6693036623886686,0.3957333564470117,0.07714069549904605,0.30974603071821644,0.5029724990376929,0.5804174780665448,0.15150479342670256,0.3449029185068027,0.7858785370790252,0.5967713464576927,0.14574078061063012,0.42278943040225486,0.8022720985939629,0.7989515965714765,0.0445710058102277,0.7040928793216962,0.831411542683624,0.5685714285714286,0.10510765456244872,0.44,0.75
flood_bin,7,0.548340782760058,0.07336551695458395,0.47889522361299736,0.6904250991668535,0.38091386006672767,0.07349479477072533,0.31483381752998024,0.5272131427745109,0.5783413419845127,0.12462868282480394,0.3367267988598694,0.7068039475205321,0.5688750943077364,0.16286436280014666,0.3930715678834089,0.828835337347255,0.79561056723535,0.05438192827300088,0.6899570022498731,0.8697166721316163,0.47428571428571425,0.021491969707422395,0.43,0.5
source_fp_x_flood_bin,7,0.5457632499443437,0.0914223890557948,0.4377467850027357,0.7045225812249287,0.3801553163153971,0.09039554152645182,0.2802021982099275,0.543832390294455,0.5928872844810689,0.14944240507425266,0.37373598352852927,0.7230592186663053,0.5421762160343536,0.1419108823352014,0.3836414824138991,0.7631442909636058,0.8051992462510501,0.038655303394356084,0.7394825635035416,0.845913072572139,0.44571428571428573,0.14093227012258322,0.23,0.66
