sampling_strategy,mean_dice,std_dice,mean_iou,std_iou,mean_precision,mean_recall,mean_accuracy,n
standard,0.5983990812058089,0.07497809087581586,0.4305088032720485,0.07797410658241256,0.6441962456546532,0.5626614903941827,0.8336838624011813,7
source_fp,0.580845798012261,0.07021387457835805,0.412179024733285,0.06816664137783224,0.5987040893380211,0.5869206750955094,0.8151693028384591,7
flood_bin,0.5553579963602384,0.0763853123852561,0.38786303662960236,0.07595670780005137,0.6336427884005279,0.5172191267047849,0.8216960299830808,7
source_fp_x_flood_bin,0.5510709259135945,0.09213506539977596,0.385261592512559,0.09064686584566456,0.6551629391973189,0.49944008422462854,0.8235457822909096,7
