heldout_fp,method,checkpoint_path,selected_threshold,selected_val_dice,selected_val_iou,selected_val_precision,selected_val_recall,test_loss,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn,best_epoch,best_val_loss,sweep_csv
fp2,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp2_weak_simsiam_best.pt,0.49,0.6264701492476509,0.4561023183475128,0.6426548345003973,0.611080631949712,0.4848778347174327,0.7083929702249018,0.5484585898764108,0.6524095918966478,0.7748860765890736,0.8213345071543837,1962664,1045667,570178,5465459,19,0.5276385570565859,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp2_weak_simsiam_threshold_sweep.csv
fp2,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp2_hybrid_best.pt,0.49,0.6030862412213522,0.4317276119813245,0.6340765742765557,0.5749840408706596,0.5192994574705759,0.6692713083448681,0.5029359572253991,0.6021142561760604,0.7532897827815649,0.791497714277629,1907964,1260810,624878,5250316,17,0.5524224191904068,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp2_hybrid_threshold_sweep.csv
fp3,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_random_best.pt,0.48,0.6243126107833209,0.4538186623480055,0.6633512492168084,0.5896134861086211,0.5393139151009646,0.6200591174211876,0.4493374500670209,0.742140996036342,0.5324683070787167,0.8127049701969815,1642620,570733,1442296,7092255,18,0.5458544384349476,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_random_threshold_sweep.csv
fp3,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_ssl_best.pt,0.39,0.6258128954539696,0.45540588569321677,0.6767159807465315,0.5820320097112693,0.5855467211116444,0.5737304194193124,0.4022594516709368,0.7826494711366203,0.45284798678474697,0.8068572253715719,1396998,387962,1687918,7275026,20,0.5461498282172463,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_mae_threshold_sweep.csv
fp3,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_contrastive_best.pt,0.44,0.5994955751346254,0.42805689470939373,0.5994193001152873,0.5995718695681669,0.564234115860679,0.6112702563347155,0.4401650206766622,0.7076240980539749,0.538011731923996,0.803593519257338,1659721,685763,1425195,6977225,15,0.579316957430406,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_contrastive_threshold_sweep.csv
fp3,denoising,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_denoising_best.pt,0.46,0.6175254932653145,0.44668128797823675,0.649258575976487,0.5887498286825813,0.5682446116750891,0.590113768632907,0.4185541751554772,0.7213617578514446,0.49927356206783263,0.8009254641649218,1540217,594935,1544699,7068053,18,0.5579724826596,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_denoising_threshold_sweep.csv
fp3,weak_simsiam,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_weak_simsiam_best.pt,0.55,0.6386788009944504,0.46916098967754183,0.6283474963034972,0.6493555201197525,0.5295442505316301,0.6384623572267584,0.4689274370162245,0.7408062054661808,0.5609640586648206,0.8176512369295463,1730527,605478,1354389,7057510,18,0.5415729203007438,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_weak_simsiam_threshold_sweep.csv
fp3,hybrid,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp3_hybrid_best.pt,0.48,0.6257616970116875,0.45535166328210097,0.669727083347823,0.5872130840837034,0.5484933609312231,0.6001450401832876,0.428719444092892,0.74886927955328,0.500705691824364,0.8084957774092529,1544635,517988,1540281,7145000,18,0.5471802651882172,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp3_hybrid_threshold_sweep.csv
fp4,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_random_best.pt,0.57,0.6052368109608646,0.4339351767505621,0.6296673471299533,0.5826312343666431,0.669176754852136,0.5779730487912276,0.4064431045416852,0.5411359320979476,0.6201917889380187,0.8443218252276861,1264514,1072263,774394,8750845,7,0.5277930349111557,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_random_threshold_sweep.csv
fp4,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_ssl_best.pt,0.52,0.6411882369194905,0.4718742171217939,0.648405333122406,0.6341300324056828,0.6248388737440109,0.5923969578736513,0.4208551275782831,0.5344319798280103,0.6644654883888991,0.8428312691535752,1354784,1180214,684124,8642894,17,0.4896992325782776,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_mae_threshold_sweep.csv
