heldout_fp,random_selected_threshold,ssl_selected_threshold,random_val_dice_at_selected_threshold,ssl_val_dice_at_selected_threshold,random_test_loss,ssl_test_loss,delta_loss_ssl_minus_random,random_test_dice,ssl_test_dice,delta_dice_ssl_minus_random,random_test_iou,ssl_test_iou,delta_iou_ssl_minus_random,random_precision,ssl_precision,delta_precision_ssl_minus_random,random_recall,ssl_recall,delta_recall_ssl_minus_random,random_accuracy,ssl_accuracy,delta_accuracy_ssl_minus_random,random_tp,random_fp,random_fn,random_tn,ssl_tp,ssl_fp,ssl_fn,ssl_tn,random_best_epoch,ssl_best_epoch,random_best_val_loss,ssl_best_val_loss
fp1,0.63,0.6,0.6274300245234485,0.6211568468515848,0.6373783018853929,0.6441982785860697,0.0068199767006768,0.5452171373265635,0.5289665705074001,-0.01625056681916337,0.37477561175325536,0.359588409007048,-0.015187202746207329,0.5596576284082796,0.523526337702873,-0.03613129070540655,0.5315030997050211,0.5345210551040426,0.003017955399021499,0.8761750381358362,0.8670598607863836,-0.009115177349452552,666414,524339,587415,7200264,670198,609963,583631,7114640,18,16,0.5378489767511686,0.5412252570192019
fp2,0.48,0.65,0.5967205757894366,0.6286620422019253,0.550230946805742,0.5346104237768385,-0.015620523028903488,0.6421591919160538,0.6793915230361106,0.03723233112005686,0.47292671430476096,0.5144534015093228,0.041526687204561874,0.5447609486416176,0.6244797634864427,0.07971881484482513,0.7819678448162268,0.7448913118149594,-0.03707653300126745,0.7559295875438772,0.803108547044839,0.04717895950096185,1980601,1655124,552241,4856002,1886692,1134530,646150,5376596,20,17,0.5496275648474693,0.5346390729149183
fp3,0.48,0.39,0.6243126107833209,0.6258128954539696,0.5393139151009646,0.5855467211116444,0.046232806010679806,0.6200591174211876,0.5737304194193124,-0.046328698001875224,0.4493374500670209,0.4022594516709368,-0.04707799839608412,0.742140996036342,0.7826494711366203,0.04050847510027833,0.5324683070787167,0.45284798678474697,-0.07962032029396976,0.8127049701969815,0.8068572253715719,-0.005847744825409618,1642620,570733,1442296,7092255,1396998,387962,1687918,7275026,18,20,0.5458544384349476,0.5461498282172463
fp4,0.57,0.52,0.6052368109608646,0.6411882369194905,0.669176754852136,0.6248388737440109,-0.04433788110812509,0.5779730487912276,0.5923969578736513,0.014423909082423747,0.4064431045416852,0.4208551275782831,0.014412023036597887,0.5411359320979476,0.5344319798280103,-0.006703952269937363,0.6201917889380187,0.6644654883888991,0.04427369945088033,0.8443218252276861,0.8428312691535752,-0.0014905560741108603,1264514,1072263,774394,8750845,1354784,1180214,684124,8642894,7,17,0.5277930349111557,0.4896992325782776
fp5,0.59,0.57,0.6769501303492702,0.672513418844603,0.5872119426727295,0.5576869994401932,-0.029524943232536294,0.6116995614910978,0.6348227530926348,0.023123191601536974,0.44061036395558734,0.4650112317142376,0.024400867758650246,0.589293855705531,0.6354054758865744,0.04611162018104342,0.6358763949738125,0.6342410981356771,-0.0016352968381354582,0.8145521163940448,0.8323802947998062,0.017828178405761452,1531659,1067484,877078,7009539,1527720,876603,881017,7200420,14,16,0.4877725809812546,0.4854672700166702
fp6,0.71,0.46,0.6665560748520398,0.6532432879659196,0.5384117798371748,0.6017924005335028,0.063380620696328,0.5975864471072012,0.5412158010202709,-0.05637064608693032,0.4261128579901081,0.37100470473892494,-0.05510815325118318,0.7102077776191995,0.6867736221919419,-0.023434155427257575,0.5157942740981606,0.44656817787891406,-0.06922609621924652,0.8147379258099741,0.7980871761546434,-0.016650749655330643,1532546,625338,1438689,7544547,1326859,605159,1644376,7564726,20,15,0.5280730903148652,0.5385615199804306
fp7,0.58,0.57,0.6783419024904763,0.6857119187877992,0.7300862222909927,0.7169869616627693,-0.01309926062822342,0.4879329159689257,0.48579197635615606,-0.002140939612769621,0.3226926378611125,0.3208224819646334,-0.0018701558964790976,0.5219915075378624,0.5800021447612014,0.05801063722333899,0.4580465659355312,0.4179104752198371,-0.04013609071569413,0.7955399211655342,0.8118501320863406,0.016310210920806423,746926,683990,883751,5353045,681477,493479,949200,5543556,18,15,0.5174273078640302,0.5252558067440987
