heldout_fp,random_threshold,mae_threshold,contrastive_threshold,random_dice,mae_dice,contrastive_dice,mae_minus_random_dice,contrastive_minus_random_dice,contrastive_minus_mae_dice,random_iou,mae_iou,contrastive_iou,contrastive_minus_random_iou,contrastive_minus_mae_iou,random_precision,mae_precision,contrastive_precision,random_recall,mae_recall,contrastive_recall,random_accuracy,mae_accuracy,contrastive_accuracy,random_best_epoch,mae_best_epoch,contrastive_best_epoch
fp1,0.63,0.6,0.57,0.5452171373265635,0.5289665705074001,0.490998860615287,-0.01625056681916337,-0.05421827671127649,-0.03796770989211312,0.37477561175325536,0.359588409007048,0.32538004631031286,-0.04939556544294249,-0.03420836269673516,0.5596576284082796,0.523526337702873,0.4686873491394854,0.5315030997050211,0.5345210551040426,0.5155407954354609,0.8761750381358362,0.8670598607863836,0.8507311744411512,18,16,16
fp2,0.48,0.65,0.36,0.6421591919160538,0.6793915230361106,0.6948204253064398,0.03723233112005686,0.052661233390386086,0.015428902270329226,0.47292671430476096,0.5144534015093228,0.5323561897370204,0.059429475432259404,0.01790278822769753,0.5447609486416176,0.6244797634864427,0.6553964564972504,0.7819678448162268,0.7448913118149594,0.7392908835213668,0.7559295875438772,0.803108547044839,0.8181231954823389,20,17,17
fp3,0.48,0.39,0.44,0.6200591174211876,0.5737304194193124,0.6112702563347155,-0.046328698001875224,-0.008788861086472033,0.03753983691540319,0.4493374500670209,0.4022594516709368,0.4401650206766622,-0.009172429390358727,0.03790556900572539,0.742140996036342,0.7826494711366203,0.7076240980539749,0.5324683070787167,0.45284798678474697,0.538011731923996,0.8127049701969815,0.8068572253715719,0.803593519257338,18,20,15
fp4,0.57,0.52,0.39,0.5779730487912276,0.5923969578736513,0.45951239431020485,0.014423909082423747,-0.11846065448102272,-0.13288456356344647,0.4064431045416852,0.4208551275782831,0.29829022486971263,-0.10815287967197257,-0.12256490270857046,0.5411359320979476,0.5344319798280103,0.31633271057125284,0.6201917889380187,0.6644654883888991,0.8394817225691478,0.8443218252276861,0.8428312691535752,0.6605554232939859,7,17,20
fp5,0.59,0.57,0.53,0.6116995614910978,0.6348227530926348,0.6456889992650786,0.023123191601536974,0.03398943777398078,0.010866246172443805,0.44061036395558734,0.4650112317142376,0.47676567562007877,0.03615531166449143,0.011754443905841183,0.589293855705531,0.6354054758865744,0.6730918293675586,0.6358763949738125,0.6342410981356771,0.6204301258294441,0.8145521163940448,0.8323802947998062,0.8435867309570327,14,16,14
fp6,0.71,0.46,0.55,0.5975864471072012,0.5412158010202709,0.5749200051625074,-0.05637064608693032,-0.022666441944693805,0.033704204142236516,0.4261128579901081,0.37100470473892494,0.40342998796224,-0.02268287002786812,0.03242528322331506,0.7102077776191995,0.6867736221919419,0.6655877704434823,0.5157942740981606,0.44656817787891406,0.5059926259619483,0.8147379258099741,0.7980871761546434,0.8004528270048271,20,15,20
fp7,0.58,0.57,0.44,0.4879329159689257,0.48579197635615606,0.498640956833179,-0.002140939612769621,0.01070804086425331,0.012848980477022931,0.3226926378611125,0.3208224819646334,0.3321263884896008,0.00943375062848828,0.011303906524967378,0.5219915075378624,0.5800021447612014,0.4851600074018986,0.4580465659355312,0.4179104752198371,0.5128924980238568,0.7955399211655342,0.8118501320863406,0.780659210987583,18,15,19
