heldout_fp,random_test_loss,ssl_test_loss,delta_loss_ssl_minus_random,random_test_dice,ssl_test_dice,delta_dice_ssl_minus_random,random_test_iou,ssl_test_iou,delta_iou_ssl_minus_random,random_precision,ssl_precision,delta_precision_ssl_minus_random,random_recall,ssl_recall,delta_recall_ssl_minus_random,random_accuracy,ssl_accuracy,delta_accuracy_ssl_minus_random,random_tp,random_fp,random_fn,random_tn,ssl_tp,ssl_fp,ssl_fn,ssl_tn,random_best_epoch,ssl_best_epoch,random_best_val_loss,ssl_best_val_loss
fp1,0.6373783018853929,0.6441982785860697,0.0068199767006768,0.5377399107889564,0.5245562932840304,-0.013183617504926026,0.36774573467235633,0.3555244370872048,-0.012221297585151503,0.511515171581382,0.483203148355821,-0.028312023225561034,0.5667989813603317,0.573649995334326,0.0068510139739943465,0.8639147681911511,0.8547815476020773,-0.009133220589073843,710669,678672,543160,7045931,719259,769264,534570,6955339,18,16,0.5378489767511686,0.5412252570192019
fp2,0.550230946805742,0.5346104237768385,-0.015620523028903488,0.6457649082236615,0.6673688883344201,0.02160398011075859,0.47684845278719346,0.5007904156614819,0.023941962874288403,0.5537766740468447,0.5835374374495529,0.029760763402708168,0.7744012457152962,0.779327727509265,0.004926481793968818,0.7620628467504554,0.7824314504429937,0.020368603692538234,1961436,1580490,571406,4930636,1973914,1408755,558928,5102371,20,17,0.5496275648474693,0.5346390729149183
fp3,0.5393139151009646,0.5855467211116444,0.046232806010679806,0.6160176397424857,0.5413603332101304,-0.07465730653235525,0.4451051237588572,0.37114055344563174,-0.07396457031322545,0.7568482182587146,0.8363045201146228,0.07945630185590813,0.5193749197709266,0.4002144628897707,-0.11916045688115595,0.8141559507788699,0.8053620501262404,-0.008793900652629527,1602228,514746,1482688,7148242,1234628,241662,1850288,7421326,18,20,0.5458544384349476,0.5461498282172463
fp4,0.669176754852136,0.6248388737440109,-0.04433788110812509,0.5485687568738937,0.5858794329082384,0.03731067603434468,0.37795021946226937,0.4143065637699853,0.03635634430771595,0.47106954400674084,0.5201234362691787,0.04905389226243784,0.6565892134417219,0.6706678280726903,0.014078614630968378,0.814252315963831,0.8370346996665673,0.02278238370273633,1338725,1503159,700183,8319949,1367430,1261619,671478,8561489,7,17,0.5277930349111557,0.4896992325782776
fp5,0.5872119426727295,0.5576869994401932,-0.029524943232536294,0.5668811314830577,0.6315058400260339,0.0646247085429762,0.3955576497779995,0.46146038360737923,0.06590273382937972,0.46908833427237207,0.6074167871122323,0.13832845283986028,0.71618777807624,0.6575844519347833,-0.05860332614145669,0.7486021995544457,0.8237113952636735,0.0751091957092278,1725108,1952468,683629,6124555,1583948,1023731,824789,7053292,14,16,0.4877725809812546,0.4854672700166702
fp6,0.5384117798371748,0.6017924005335028,0.063380620696328,0.6104581613945136,0.511410980459613,-0.09904718093490061,0.4393233398478781,0.3435541803321439,-0.09576915951573417,0.6453496417868375,0.7602284348230454,0.11487879303620785,0.5791460453313325,0.3853037541628519,-0.19384229116848062,0.8028828340418216,0.8036571727079521,0.0007743386661305252,1720779,945650,1250456,7224235,1144828,361072,1826407,7808813,20,15,0.5280730903148652,0.5385615199804306
fp7,0.7300862222909927,0.7169869616627693,-0.01309926062822342,0.49276036081500363,0.49686368788901153,0.004103327074007901,0.3269290085029035,0.3305513171930789,0.00362230869017538,0.5072805588331685,0.5540610274447301,0.0467804686115616,0.47904827258865623,0.4503706129417751,-0.028677659646881126,0.7902563372228927,0.8060228396684721,0.015766502445579422,781173,758750,849504,5278285,734409,591093,896268,5445942,18,15,0.5174273078640302,0.5252558067440987
