heldout_fp,num_test_tiles,total_pixels,valid_pixel_fraction_total,mean_tile_valid_fraction,median_tile_valid_fraction,total_flood_fraction_valid_pixels,mean_tile_flood_fraction,median_tile_flood_fraction,land_cover_tiles_found,sar_ch0_mean,sar_ch0_std,sar_ch0_p1,sar_ch0_p99,sar_ch1_mean,sar_ch1_std,sar_ch1_p1,sar_ch1_p99,sar_ch2_mean,sar_ch2_std,sar_ch2_p1,sar_ch2_p99,water_fraction,trees_fraction,flooded_vegetation_fraction,crops_fraction,built_area_fraction,bare_ground_fraction,snow_ice_fraction,clouds_fraction,rangeland_fraction,random_threshold,weak_simsiam_threshold,random_dice,weak_simsiam_dice,random_iou,weak_simsiam_iou,random_precision,weak_simsiam_precision,random_recall,weak_simsiam_recall,random_accuracy,weak_simsiam_accuracy,weak_minus_random_dice,weak_minus_random_precision,weak_minus_random_recall
fp1,137,8978432,0.9926196467267335,0.9926196467267335,1.0,0.13818871008715275,0.1371982876702873,0.08147537731386104,137,130.75120544433594,54.752681732177734,0.10195351392030716,239.72666931152344,130.73594665527344,55.54103088378906,0.0,204.3345184326172,128.468505859375,53.40635681152344,3.7680861949920654,220.15257263183594,0.04564822448204209,0.4873346870471644,0.00860830764459294,0.32316087702887325,0.09570500373691292,0.00048125952137728043,0.0,0.0,0.03906164053903707,0.63,0.48,0.5452171373265635,0.5127410059238287,0.37477561175325536,0.3447556935047149,0.5596576284082796,0.5160585905279953,0.5315030997050211,0.50946580434816,0.8761750381358362,0.8647788388885735,-0.032476131402734865,-0.0435990378802843,-0.022037295356861053
fp2,138,9043968,0.9588747992031816,0.9588747992031816,1.0,0.28292961984807946,0.27442172988760155,0.176103163480782,138,129.6274871826172,55.758453369140625,1.2846542596817017,235.2207794189453,129.94569396972656,55.511573791503906,0.0,201.37933349609375,126.66106414794922,55.42483901977539,2.842581033706665,213.06373596191406,0.023289691697206558,0.5865811419978911,0.008178154409676692,0.19733558290447664,0.13334527820774356,0.0009387084178856944,0.0,0.0,0.05033144236511974,0.48,0.49,0.6421591919160538,0.7083929702249018,0.47292671430476096,0.5484585898764108,0.5447609486416176,0.6524095918966478,0.7819678448162268,0.7748860765890736,0.7559295875438772,0.8213345071543837,0.06623377830884802,0.10764864325503021,-0.007081768227153229
fp3,164,10747904,0.8555011284060594,0.8555011284060594,0.99969482421875,0.29056599546441464,0.3062892820617339,0.23029680211619635,164,119.04150390625,53.569610595703125,2.3667654991149902,236.7386016845703,120.78500366210938,55.0208854675293,0.04080855846405029,199.19430541992188,115.50220489501953,53.180076599121094,1.3628251552581787,206.66183471679688,0.01795866440217716,0.6650323679710662,0.002208936354428305,0.1144751983285368,0.10911061128329064,0.0012034429118842195,0.0,0.0,0.09001077874861665,0.48,0.55,0.6200591174211876,0.6384623572267584,0.4493374500670209,0.4689274370162245,0.742140996036342,0.7408062054661808,0.5324683070787167,0.5609640586648206,0.8127049701969815,0.8176512369295463,0.018403239805570792,-0.0013347905701611706,0.028495751586103846
fp4,181,11862016,0.7843857233036947,0.7843857233036947,0.9980621337890625,0.17796168606753196,0.16213889947772062,0.09514726079658171,181,135.86996459960938,60.1330680847168,0.08154542744159698,247.0748748779297,137.9818115234375,57.45058059692383,0.0,217.88775634765625,142.32679748535156,55.48056411743164,2.741086483001709,238.58436584472656,0.016974014538879985,0.5800390662201288,0.0010322866773895825,0.270319163430607,0.08160397091258438,7.337653847090786e-05,0.0,0.0,0.04995812168193927,0.57,0.49,0.5779730487912276,0.6048544391748201,0.4064431045416852,0.43354217377653687,0.5411359320979476,0.6155311666299572,0.6201917889380187,0.5945417841315256,0.8443218252276861,0.8664764910113099,0.026881390383592496,0.07439523453200958,-0.025650004806493154
fp5,160,10485760,0.8238606452941895,0.8238606452941895,0.9998016357421875,0.24507753097795354,0.21996031689949674,0.11874471417344405,160,129.50485229492188,59.638336181640625,0.18332108855247498,244.52760314941406,130.0735626220703,58.102718353271484,0.0,212.6376953125,130.44778442382812,57.86522674560547,2.3342974185943604,230.65806579589844,0.016183726461580356,0.545266433662295,0.0009236891335580853,0.31757027560350737,0.08020723572223892,5.16803294063213e-05,0.0,0.0,0.03979695908741394,0.59,0.48,0.6116995614910978,0.6492965600605255,0.44061036395558734,0.4807099329588085,0.589293855705531,0.6887141272902298,0.6358763949738125,0.6141467499357707,0.8145521163940448,0.8475987434387222,0.037596998569427664,0.0994202715846989,-0.021729645038041867
fp6,170,11141120,0.8300123326918658,0.8300123326918658,0.9978790283203125,0.27522867026549575,0.28867147825740874,0.19564312040057663,170,128.0589599609375,58.40001678466797,1.8295313119888306,246.52870178222656,128.81922912597656,57.019569396972656,0.02040639892220497,214.54286193847656,128.82745361328125,56.55116271972656,1.6191141605377197,234.4065704345703,0.01793705608676309,0.6331326382953996,0.001941935278782363,0.12770231350637706,0.12379218777355755,0.0006922969703002312,0.0,0.0,0.09480157208882015,0.71,0.44,0.5975864471072012,0.5473601895048373,0.4261128579901081,0.3768037923442782,0.7102077776191995,0.7862905945621687,0.5157942740981606,0.4197964819342993,0.8147379258099741,0.8148360308478877,-0.05022625760236388,0.07608281694296914,-0.09599779216386128
fp7,117,7667712,0.9915223732972757,0.9915223732972757,1.0,0.2115402827518826,0.20976820567935933,0.1231536865234375,117,126.7441635131836,61.71105194091797,7.5284247398376465,234.2397918701172,126.44205474853516,62.88225173950195,4.811434745788574,204.0335235595703,123.87438201904297,59.2130012512207,4.70554780960083,214.33753967285156,0.20685762123045,0.45408599486937545,0.01661015098227945,0.16077562775136806,0.11005878790952861,0.0024435590018762306,0.0,0.0,0.04916825825512219,0.58,0.76,0.4879329159689257,0.5108771929824725,0.3226926378611125,0.3430725730443274,0.5219915075378624,0.5642143279679018,0.4580465659355312,0.46675337911803094,0.7955399211655342,0.8099267421624624,0.022944277013546788,0.04222282043003944,0.008706813182499717
