heldout_fp,method,checkpoint_path,selected_threshold,selected_val_dice,selected_val_iou,selected_val_precision,selected_val_recall,test_loss,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn,best_epoch,best_val_loss,sweep_csv
fp4,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp4_contrastive_best.pt,0.39,0.6126066012940502,0.44155219555278946,0.5333901561166265,0.7194567251076707,0.6317662447690964,0.45951239431020485,0.29829022486971263,0.31633271057125284,0.8394817225691478,0.6605554232939859,1711626,3699215,327282,6123893,20,0.5130063593387604,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp4_contrastive_threshold_sweep.csv
fp5,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_random_best.pt,0.59,0.6769501303492702,0.5116588164042427,0.7029553424717497,0.6528003576007798,0.5872119426727295,0.6116995614910978,0.44061036395558734,0.589293855705531,0.6358763949738125,0.8145521163940448,1531659,1067484,877078,7009539,14,0.4877725809812546,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_random_threshold_sweep.csv
fp5,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_ssl_best.pt,0.57,0.672513418844603,0.506606566417629,0.6845580023900465,0.6608853482312577,0.5576869994401932,0.6348227530926348,0.4650112317142376,0.6354054758865744,0.6342410981356771,0.8323802947998062,1527720,876603,881017,7200420,16,0.4854672700166702,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_mae_threshold_sweep.csv
fp5,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp5_contrastive_best.pt,0.53,0.6537720585984088,0.4856325132560841,0.6623870189325058,0.6453783123407401,0.5607625752687454,0.6456889992650786,0.47676567562007877,0.6730918293675586,0.6204301258294441,0.8435867309570327,1494453,725828,914284,7351195,14,0.5091619491577148,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp5_contrastive_threshold_sweep.csv
fp6,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_random_best.pt,0.71,0.6665560748520398,0.49987559452722313,0.688574965444634,0.6459017655566642,0.5384117798371748,0.5975864471072012,0.4261128579901081,0.7102077776191995,0.5157942740981606,0.8147379258099741,1532546,625338,1438689,7544547,20,0.5280730903148652,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_random_threshold_sweep.csv
fp6,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_ssl_best.pt,0.46,0.6532432879659196,0.4850492164834293,0.6391392847934874,0.667983808504145,0.6017924005335028,0.5412158010202709,0.37100470473892494,0.6867736221919419,0.44656817787891406,0.7980871761546434,1326859,605159,1644376,7564726,15,0.5385615199804306,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_mae_threshold_sweep.csv
fp6,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp6_contrastive_best.pt,0.55,0.6324499237735511,0.46246929803017806,0.6277682548851343,0.6372019457206861,0.5705032782121138,0.5749200051625074,0.40342998796224,0.6655877704434823,0.5059926259619483,0.8004528270048271,1503423,755367,1467812,7414518,20,0.558265995979309,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp6_contrastive_threshold_sweep.csv
fp7,random,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_random_best.pt,0.58,0.6783419024904763,0.5132506688142143,0.7053138069408098,0.6533568827174359,0.7300862222909927,0.4879329159689257,0.3226926378611125,0.5219915075378624,0.4580465659355312,0.7955399211655342,746926,683990,883751,5353045,18,0.5174273078640302,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_random_threshold_sweep.csv
fp7,mae,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_ssl_best.pt,0.57,0.6857119187877992,0.5217363899057493,0.7191906779480329,0.6552114320527593,0.7169869616627693,0.48579197635615606,0.3208224819646334,0.5800021447612014,0.4179104752198371,0.8118501320863406,681477,493479,949200,5543556,15,0.5252558067440987,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_mae_threshold_sweep.csv
fp7,contrastive,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/models/lofo_fp7_contrastive_best.pt,0.44,0.6416807236370317,0.47240787552923746,0.6604499957544874,0.6239487765557956,0.7418365180492401,0.498640956833179,0.3321263884896008,0.4851600074018986,0.5128924980238568,0.780659210987583,836362,887527,794315,5149508,19,0.5494936679800352,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/results/lofo_fp7_contrastive_threshold_sweep.csv
