heldout_fp,random_threshold,random_dice,random_iou,random_precision,random_recall,random_accuracy,random_best_epoch,mae_threshold,mae_dice,mae_iou,mae_precision,mae_recall,mae_accuracy,mae_best_epoch,contrastive_threshold,contrastive_dice,contrastive_iou,contrastive_precision,contrastive_recall,contrastive_accuracy,contrastive_best_epoch,denoising_threshold,denoising_dice,denoising_iou,denoising_precision,denoising_recall,denoising_accuracy,denoising_best_epoch,weak_simsiam_threshold,weak_simsiam_dice,weak_simsiam_iou,weak_simsiam_precision,weak_simsiam_recall,weak_simsiam_accuracy,weak_simsiam_best_epoch,hybrid_threshold,hybrid_dice,hybrid_iou,hybrid_precision,hybrid_recall,hybrid_accuracy,hybrid_best_epoch,denoising_minus_random_dice,denoising_minus_mae_dice,denoising_minus_contrastive_dice,weak_simsiam_minus_random_dice,weak_simsiam_minus_mae_dice,weak_simsiam_minus_contrastive_dice,hybrid_minus_random_dice,hybrid_minus_mae_dice,hybrid_minus_contrastive_dice
fp1,0.63,0.5452171373265635,0.37477561175325536,0.5596576284082796,0.5315030997050211,0.8761750381358362,18,0.6,0.5289665705074001,0.359588409007048,0.523526337702873,0.5345210551040426,0.8670598607863836,16,0.57,0.490998860615287,0.32538004631031286,0.4686873491394854,0.5155407954354609,0.8507311744411512,16,0.38,0.5027628093538603,0.3357936955446026,0.48572724400085615,0.5210367601962054,0.8560748691976521,19,0.48,0.5127410059238287,0.3447556935047149,0.5160585905279953,0.50946580434816,0.8647788388885735,17,0.55,0.5346878535791212,0.3648968957809809,0.5009761289257215,0.5732639777832884,0.8606629754505033,18,-0.04245432797270321,-0.02620376115353984,0.011763948738573282,-0.032476131402734865,-0.016225564583571495,0.021742145308541627,-0.01052928374744233,0.0057212830717210394,0.04368899296383416
fp2,0.48,0.6421591919160538,0.47292671430476096,0.5447609486416176,0.7819678448162268,0.7559295875438772,20,0.65,0.6793915230361106,0.5144534015093228,0.6244797634864427,0.7448913118149594,0.803108547044839,17,0.36,0.6948204253064398,0.5323561897370204,0.6553964564972504,0.7392908835213668,0.8181231954823389,17,0.37,0.6797532509639681,0.5148683391648518,0.6133027738569222,0.7623531195392462,0.7988274615743908,19,0.49,0.7083929702249018,0.5484585898764108,0.6524095918966478,0.7748860765890736,0.8213345071543837,19,0.49,0.6692713083448681,0.5029359572253991,0.6021142561760604,0.7532897827815649,0.791497714277629,17,0.03759405904791435,0.0003617279278574914,-0.015067174342471734,0.06623377830884802,0.029001447188791163,0.013572544918461937,0.027112116428814392,-0.010120214691242468,-0.025549116961571694
fp3,0.48,0.6200591174211876,0.4493374500670209,0.742140996036342,0.5324683070787167,0.8127049701969815,18,0.39,0.5737304194193124,0.4022594516709368,0.7826494711366203,0.45284798678474697,0.8068572253715719,20,0.44,0.6112702563347155,0.4401650206766622,0.7076240980539749,0.538011731923996,0.803593519257338,15,0.46,0.590113768632907,0.4185541751554772,0.7213617578514446,0.49927356206783263,0.8009254641649218,18,0.55,0.6384623572267584,0.4689274370162245,0.7408062054661808,0.5609640586648206,0.8176512369295463,18,0.48,0.6001450401832876,0.428719444092892,0.74886927955328,0.500705691824364,0.8084957774092529,18,-0.02994534878828059,0.016383349213594633,-0.021156487701808557,0.018403239805570792,0.06473193780744602,0.027192100892042825,-0.019914077237899952,0.02641462076397527,-0.011125216151427919
fp4,0.57,0.5779730487912276,0.4064431045416852,0.5411359320979476,0.6201917889380187,0.8443218252276861,7,0.52,0.5923969578736513,0.4208551275782831,0.5344319798280103,0.6644654883888991,0.8428312691535752,17,0.39,0.45951239431020485,0.29829022486971263,0.31633271057125284,0.8394817225691478,0.6605554232939859,20,0.46,0.4768467993998671,0.31306555322996826,0.344297202504797,0.7753429777116095,0.7075760140603443,13,0.49,0.6048544391748201,0.43354217377653687,0.6155311666299572,0.5945417841315256,0.8664764910113099,16,0.47,0.4834581174513116,0.3187898224339345,0.33941097916321966,0.8399250971598601,0.6914991515776095,19,-0.10112624939136045,-0.11555015847378419,0.017334405089662275,0.026881390383592496,0.012457481301168749,0.14534204486461522,-0.09451493133991595,-0.1089388404223397,0.023945723141106767
fp5,0.59,0.6116995614910978,0.44061036395558734,0.589293855705531,0.6358763949738125,0.8145521163940448,14,0.57,0.6348227530926348,0.4650112317142376,0.6354054758865744,0.6342410981356771,0.8323802947998062,16,0.53,0.6456889992650786,0.47676567562007877,0.6730918293675586,0.6204301258294441,0.8435867309570327,14,0.51,0.6158690118867891,0.4449499485061943,0.645913719600565,0.5884951325113704,0.8313628196716325,19,0.48,0.6492965600605255,0.4807099329588085,0.6887141272902298,0.6141467499357707,0.8475987434387222,19,0.52,0.6183763162677001,0.4475721743544799,0.63430485981514,0.6032281648017361,0.8289655685424822,19,0.0041694503956912765,-0.018953741205845698,-0.029819987378289503,0.037596998569427664,0.01447380696789069,0.0036075607954468847,0.006676754776602234,-0.01644643682493474,-0.027312682997378546
fp6,0.71,0.5975864471072012,0.4261128579901081,0.7102077776191995,0.5157942740981606,0.8147379258099741,20,0.46,0.5412158010202709,0.37100470473892494,0.6867736221919419,0.44656817787891406,0.7980871761546434,15,0.55,0.5749200051625074,0.40342998796224,0.6655877704434823,0.5059926259619483,0.8004528270048271,20,0.48,0.5404751109450564,0.37030893751666866,0.759011809995504,0.4196487319246232,0.8096918442670054,18,0.44,0.5473601895048373,0.3768037923442782,0.7862905945621687,0.4197964819342993,0.8148360308478877,20,0.74,0.5511519599880349,0.3804070163103486,0.7825760127604482,0.42536319072710754,0.8152323105755991,19,-0.05711133616214481,-0.0007406900752144896,-0.034444894217451005,-0.05022625760236388,0.006144388484566443,-0.027559815657670073,-0.04643448711916631,0.009936158967764008,-0.023768045174472507
fp7,0.58,0.4879329159689257,0.3226926378611125,0.5219915075378624,0.4580465659355312,0.7955399211655342,18,0.57,0.48579197635615606,0.3208224819646334,0.5800021447612014,0.4179104752198371,0.8118501320863406,15,0.44,0.498640956833179,0.3321263884896008,0.4851600074018986,0.5128924980238568,0.780659210987583,19,0.6,0.4687920981601172,0.3061583587681623,0.4992336686899269,0.44184961215498586,0.787043514414733,17,0.76,0.5108771929824725,0.3430725730443274,0.5642143279679018,0.46675337911803094,0.8099267421624624,19,0.48,0.461517580886516,0.29998235608859347,0.5765938068380119,0.38473284408871994,0.8090697720519523,17,-0.019140817808808497,-0.016999878196038876,-0.029848858673061807,0.022944277013546788,0.02508521662631641,0.012236236149293478,-0.026415335082409674,-0.024274395469640053,-0.037123375946662984
