fold,test_dice_drought_negative_init,test_dice_random_init,test_iou_drought_negative_init,test_iou_random_init,test_precision_drought_negative_init,test_precision_random_init,test_recall_drought_negative_init,test_recall_random_init,test_dice_delta_drought_minus_random,test_iou_delta_drought_minus_random,test_precision_delta_drought_minus_random,test_recall_delta_drought_minus_random
fp1,0.5341007103183439,0.4968820223008673,0.3643502074650434,0.3305675467081334,0.5641581328457946,0.4676514902388504,0.5070840989606274,0.5300102877567957,0.03721868801747663,0.03378266075691,0.09650664260694425,-0.022926188796168256
fp2,0.732774534900088,0.7254235507431349,0.5782511124350883,0.5691487169452238,0.7199597089795909,0.7618967306810835,0.7460538194267651,0.6922828933291343,0.007350984156953122,0.009102395489864468,-0.041937021701492605,0.05377092609763079
fp3,0.6678681756193259,0.6061423660082007,0.50135291672792,0.4348667691924268,0.7631884466585213,0.8247839292594753,0.5937147346511317,0.4791300250139712,0.06172580961112517,0.06648614753549326,-0.061595482600954043,0.1145847096371605
fp4,0.6248022933605883,0.6494516364025307,0.4543363403996935,0.4808799550669879,0.522614012865187,0.6025696276706444,0.7766661472884363,0.7042442865373714,-0.02464934304194233,-0.02654361466729438,-0.07995561480545732,0.07242186075106494
fp5,0.6418754736057272,0.6355171293700451,0.4726190133020224,0.465756766207442,0.5603472393009987,0.5332087337956433,0.7511672382611491,0.7864075606338162,0.006358344235682045,0.006862247094580387,0.02713850550535546,-0.035240322372667165
fp6,0.5972132284412857,0.6637845033947077,0.4257334332984212,0.4967645601185503,0.7898018447267849,0.7267794867000267,0.480135066694505,0.6108388900610852,-0.06657127495342208,-0.07103112682012908,0.06302235802675826,-0.13070382336658015
fp7,0.4926329374628092,0.4677853748275496,0.3268168382514834,0.305300163007465,0.5081833055147323,0.4614271171247243,0.4780059927413417,0.4743213086784399,0.024847562635259557,0.0215166752440184,0.04675618839000806,0.0036846840629017885
