fold,method,n_seeds,dice_mean,dice_std,dice_min,dice_max,iou_mean,iou_std,iou_min,iou_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max
fp1,random,3,0.5296191496421315,0.0076403020256723955,0.521203978413184,0.536120833104151,0.3602162558220464,0.0070550237421396255,0.35245156925289145,0.3662329823581142,0.5271981382453019,0.06536274913353027,0.45456180559639814,0.5812719053419372,0.5420832240016082,0.060342756577597106,0.497478523785979,0.610743570295502,0.8651867052064339,0.019302413167337495,0.8432998100336467,0.8797778944029437
fp1,weak_simsiam,3,0.5281070765267282,0.01945142414423435,0.5101202885753512,0.5487501269622893,0.3589531442401816,0.018008111780576805,0.34239025114825516,0.3781224289196225,0.53329280536374,0.0695261901428046,0.4718101232106556,0.6087420983305278,0.5330397260445511,0.06275667751567074,0.46220896150914825,0.5817085104906984,0.8669649295853307,0.01617026628045246,0.8510860248203711,0.8834116023822435
fp2,random,3,0.6944454004953334,0.020403521907747076,0.674997347689111,0.7156860947227202,0.5321660250983067,0.023996873693091884,0.5094309407697265,0.5572516904021325,0.6367083192238651,0.05611212264134868,0.5759807949024589,0.6866347026215732,0.7689973028979659,0.03997133276481214,0.7445624322401576,0.8151250650455174,0.8096108920332334,0.027169018935443736,0.7801693902499457,0.8337153559145738
fp2,weak_simsiam,3,0.6881970209652895,0.01754611144394563,0.6686526788276469,0.7025930480665188,0.5248000896703348,0.02028686613986117,0.5022375966016555,0.5415363676134745,0.6245734386788353,0.04624480355266493,0.5720488282396076,0.6591697602939274,0.7698606282323793,0.030012986275140527,0.752140875743542,0.8045136648871186,0.8039477435862982,0.023953046777054524,0.776696578316069,0.8216695370881473
fp3,random,3,0.6113974512000574,0.024060947486814747,0.5872904163287865,0.6354120449354977,0.4405852868909865,0.02496293080427696,0.4157191422193119,0.46564389094689923,0.726864171639797,0.042145757414576844,0.6868540835395853,0.7708621210101915,0.5307303883368991,0.04947590457212059,0.4743334988700024,0.5668287240236178,0.8069923835072109,0.007278716092836724,0.7990273266303849,0.8132982951838813
fp3,weak_simsiam,3,0.6208301372834119,0.0072252470240486266,0.6127112211416161,0.6265529038255171,0.4501741693198652,0.007579689318255744,0.4416609075767441,0.4561900531667289,0.7341890788380201,0.026378470878722825,0.7084203713266815,0.7611377139758269,0.5388059188645804,0.024620557715578764,0.5127264405254628,0.5616470594337232,0.8112246505613268,0.0031162403858875625,0.8078305314226867,0.8139565630656934
fp4,random,3,0.6065399437974046,0.013343507306344685,0.5924331124247135,0.6189596588325862,0.43536375174517156,0.013720813977640337,0.42089162344907716,0.4481836195381411,0.6212886354552034,0.053979853728746766,0.5696056361872821,0.6773042183160151,0.595592673463789,0.023919849978288662,0.5698697538094132,0.61716664018192,0.8668793455232804,0.012681722826454378,0.8540409151361804,0.8793983248715912
fp4,weak_simsiam,3,0.5750382816851398,0.01630452782319088,0.5634097357701966,0.5936752032561097,0.40366973293767877,0.01615826382677318,0.39218540581734246,0.42214657995839816,0.5108751630175439,0.03831216271125405,0.4793217509540916,0.5535053316189107,0.6604154446072934,0.02168837601753805,0.6401318745132375,0.6832780096012334,0.8317971132956391,0.01603930673741447,0.8179811930788171,0.8493868158667139
fp5,random,3,0.6024776098165789,0.03339695822705772,0.5773897462368744,0.6403850221360123,0.4316556427723467,0.03462152075629188,0.4058664308861548,0.47100468335682505,0.6418418140623133,0.05926152843126457,0.5896686687150436,0.7062741939440261,0.5686158347715184,0.015837846220219706,0.554495156590381,0.5857405769081644,0.827133210500083,0.019910227846732662,0.8098007202148456,0.8488801956176772
fp5,weak_simsiam,3,0.6132504251968973,0.028130210067925536,0.5950708080222677,0.6456519230838651,0.442621790273472,0.029602830787742857,0.42355928784182456,0.47672524817551565,0.6368562057617504,0.08842141894147477,0.5372619407598248,0.7061234207399001,0.6016828182847302,0.06195026762365407,0.5435076556718502,0.666819997367929,0.8248107274373389,0.030073923768738096,0.7915324211120625,0.8500438690185561
fp6,random,3,0.5461008273788164,0.03733164705919012,0.5228463375102501,0.5891617071310219,0.37622512678307357,0.03586400783997473,0.353955279526576,0.4175969068240675,0.7994716844224365,0.07706856714812121,0.7104825876249656,0.8444853962272766,0.42144742281690645,0.07085251817522077,0.3786354832250098,0.5032308114302805,0.8149663289388037,0.0018837556623281868,0.8128276151769318,0.81637914321002
fp6,weak_simsiam,3,0.5703044717292326,0.023541911919734586,0.5517522452627291,0.5967876412676232,0.39915404979108865,0.023211462493959417,0.38097918222758587,0.4253010155973516,0.7476727852893233,0.10815562003246251,0.6246966177842674,0.8280098693849128,0.46815796573929236,0.049780302762793986,0.4137188744747751,0.5113577350832393,0.8119056851256145,0.021168818030904233,0.7877529368681085,0.8272381950827221
