fold,method,seed,run_name,path,dice,iou,precision,recall,accuracy
fp4,weak_simsiam,1,seedrep_fp4_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp4_weak_simsiam_seed1_test_metrics.csv,0.5936752032561097,0.42214657995839816,0.5535053316189107,0.6401318745132375,0.8493868158667139
fp4,weak_simsiam,2,seedrep_fp4_weak_simsiam_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp4_weak_simsiam_seed2_test_metrics.csv,0.5634097357701966,0.39218540581734246,0.4793217509540916,0.6832780096012334,0.8179811930788171
fp4,weak_simsiam,3,seedrep_fp4_weak_simsiam_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp4_weak_simsiam_seed3_test_metrics.csv,0.5680299060291132,0.39667721303729564,0.4997984064796293,0.6578364497074092,0.8280233309413861
fp5,random,1,seedrep_fp5_random_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_random_seed1_test_metrics.csv,0.6403850221360123,0.47100468335682505,0.7062741939440261,0.5857405769081644,0.8488801956176772
fp5,random,2,seedrep_fp5_random_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_random_seed2_test_metrics.csv,0.5773897462368744,0.4058664308861548,0.5896686687150436,0.5656117708160099,0.8098007202148456
fp5,random,3,seedrep_fp5_random_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_random_seed3_test_metrics.csv,0.5896580610768501,0.4180958140740602,0.6295825795278703,0.554495156590381,0.8227187156677264
fp5,weak_simsiam,1,seedrep_fp5_weak_simsiam_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_weak_simsiam_seed1_test_metrics.csv,0.5990285444845592,0.4275808348030757,0.6671832557855263,0.5435076556718502,0.8328558921813981
fp5,weak_simsiam,2,seedrep_fp5_weak_simsiam_seed2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_weak_simsiam_seed2_test_metrics.csv,0.6456519230838651,0.47672524817551565,0.7061234207399001,0.5947208018144116,0.8500438690185561
fp5,weak_simsiam,3,seedrep_fp5_weak_simsiam_seed3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp5_weak_simsiam_seed3_test_metrics.csv,0.5950708080222677,0.42355928784182456,0.5372619407598248,0.666819997367929,0.7915324211120625
fp6,random,1,seedrep_fp6_random_seed1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/raw_results/seedrep_fp6_random_seed1_test_metrics.csv,0.5228463375102501,0.353955279526576,0.8444853962272766,0.3786354832250098,0.8156922284294594
