run_name,fold,method,seed,model_path,val_csv,test_csv,selected_threshold,val_dice,val_iou,val_precision,val_recall,val_accuracy,test_dice,test_iou,test_precision,test_recall,test_accuracy,test_tp,test_fp,test_fn,test_tn
seedrep_fp2_weak_simsiam_seed2,fp2,weak_simsiam,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_weak_simsiam_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.67,0.6213087326645892,0.4506510974464857,0.6630650677637044,0.5845000098650464,0.8201872173108486,0.6933736176882594,0.5306594349193474,0.6362102590733157,0.7618232799361049,0.8112984256467867,1929578,1103347,603264,5407779
seedrep_fp2_weak_simsiam_seed3,fp2,weak_simsiam,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp2_weak_simsiam_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp2/test.csv,0.48,0.6181843951573364,0.44737112027890585,0.6348365948846794,0.6023834633506279,0.8122124119808734,0.689888759683282,0.5265879250959652,0.6285223713464798,0.7645348584712048,0.8075070588484965,1936446,1144504,596396,5366622
seedrep_fp3_random_seed1,fp3,random,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_random_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.52,0.616440648037774,0.4455469490076519,0.625571680401005,0.6075723394673775,0.8412214267753478,0.6104607614868266,0.43932603309571033,0.6931090888943435,0.5454229547903234,0.8002087662859586,1682584,745005,1402332,6917983
seedrep_fp3_random_seed2,fp3,random,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_random_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.34,0.6197893393767184,0.44905416039666807,0.6349837809415847,0.6053050755645598,0.8440422012420394,0.6070690928122059,0.4358213962226061,0.6812381410297506,0.5474645014645277,0.7965847108422182,1688882,790254,1396034,6872734
seedrep_fp3_random_seed3,fp3,random,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_random_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.43,0.6219384895802421,0.4513140268976813,0.6403805887566183,0.6045288716108796,0.8456578054827767,0.6384252196571778,0.46888737135424374,0.6932983640036479,0.5916011975690556,0.8076612891220389,1825040,807362,1259876,6855626
seedrep_fp3_weak_simsiam_seed1,fp3,weak_simsiam,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_weak_simsiam_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.49,0.6384165816442051,0.46887805259492416,0.6628773577392748,0.6156968105587834,0.8535383761285943,0.6141427136576935,0.4431500412849871,0.7572457362926106,0.5165297855759924,0.8137045139219626,1593451,510821,1491465,7152167
seedrep_fp3_weak_simsiam_seed2,fp3,weak_simsiam,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_weak_simsiam_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.49,0.6384717913258523,0.4689376152900969,0.6689338966853893,0.6106632323412247,0.8547705005028926,0.624101925365435,0.4535960452820567,0.7269903188820279,0.5467257455308168,0.8109687246927325,1686603,633377,1398313,7029611
seedrep_fp3_weak_simsiam_seed3,fp3,weak_simsiam,3,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp3_weak_simsiam_seed3_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp3/test.csv,0.52,0.6132940452795447,0.4422668289494567,0.6517543365691513,0.5791199396092187,0.846632540582889,0.624323441411552,0.453830108184846,0.7435615439302863,0.5380425269277822,0.8141465535977915,1659816,572435,1425100,7090553
seedrep_fp4_random_seed1,fp4,random,1,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_random_seed1_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.4,0.6274731157181779,0.457166357106735,0.534572506263414,0.7594548770389369,0.74215431981438,0.4832166700807981,0.31857989242704743,0.3454983308795746,0.8034967737631712,0.7045936373715842,1638256,3103463,400652,6719645
seedrep_fp4_random_seed2,fp4,random,2,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/seed_replication/models/seedrep_fp4_random_seed2_best.pt,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/validation.csv,/mnt/linuxlab/home/reuuzheng/Flood-Detection-Data-Processing/training/lofo_csvs/heldout_fp4/test.csv,0.26,0.6359915689248383,0.466266596624719,0.6010802055833812,0.6752083733270439,0.7789994822252436,0.4867549780526241,0.32166302944530767,0.34714271703947036,0.814210351815736,0.704865429282841,1660100,3122083,378808,6701025
